Geneid	SRR14267546	SRR14267547	SRR14267548	SRR14267549	SRR14267550	SRR14267551	SRR14267552	SRR14267553	SRR14267554	SRR14267555	SRR14267556	SRR14267557	SRR14267558	SRR14267559	SRR14267560	SRR14267561	SRR14267562	SRR14267563	SRR14267564	SRR14267565	SRR14267566
MIR4775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FZD5	327	268	373	559	465	359	389	176	890	655	659	467	684	489	832	613	96	146	620	843	1396
PLEKHM3	341	369	376	316	489	462	558	211	423	533	208	355	468	345	400	323	120	34	193	272	585
AC083900.1	0	0	6	6	3	9	1	0	10	7	2	15	4	0	1	0	0	0	0	0	1
RNU6-360P	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	9
AC093698.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL12P17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
CRYGEP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGC	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC093698.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CRYGA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf80	7	0	0	0	0	0	0	0	0	3	1	0	0	0	6	0	3	0	0	8	0
RPSAP27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
TPT1P2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
IDH1	689	506	653	306	1628	843	1894	262	645	1686	336	1019	986	772	487	629	319	111	670	1332	1675
IDH1-AS1	0	5	2	2	7	6	10	1	3	1	4	9	5	4	0	0	8	1	36	3	9
PIKFYVE	837	1512	1201	793	906	1446	1511	975	1031	1361	1357	789	1074	816	1054	845	435	146	816	1194	1356
MYL6BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTH2R	0	7	2	0	3	2	0	4	5	4	4	1	0	23	14	0	0	0	8	2	10
AC012362.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC019185.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC019185.2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC019185.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
RNA5SP117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPA8P6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
CRYGFP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEAF6P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PKP4P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
MAP2	7	40	55	93	106	17	16	10	32	31	14	49	41	64	82	28	8	14	60	37	20
RNA5SP118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNC80	0	0	0	4	19	7	0	10	1	0	0	0	0	0	4	3	1	2	12	0	2
SNAI1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPE	349	348	520	333	529	476	416	233	229	345	277	193	351	156	168	212	167	67	250	478	439
KANSL1L	974	400	1114	756	932	660	606	265	468	446	402	580	603	587	300	545	337	143	718	356	531
AC007038.2	8	13	27	9	7	21	21	1	7	19	8	17	19	1	0	19	7	2	2	23	44
AC007038.1	39	26	48	48	26	37	97	19	23	72	33	23	34	12	28	18	23	6	37	85	73
AC006994.1	0	0	0	0	0	1	8	0	0	2	0	2	0	2	1	0	6	0	0	0	0
AC006994.2	70	50	66	49	47	21	35	10	12	14	27	29	17	24	7	15	14	3	47	13	12
ACADL	12	3	2	15	77	34	36	0	5	29	0	12	0	14	0	24	0	2	4	0	35
MYL1	0	0	0	0	4	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0
LANCL1-AS1	0	0	2	0	0	8	16	0	0	0	3	4	0	2	0	5	6	0	0	0	0
LANCL1	241	268	474	218	570	410	338	167	217	295	233	298	372	263	108	172	196	47	164	325	508
CPS1	0	0	0	0	21	17	0	1	3	25	1	5	25	10	0	4	0	2	12	10	25
CPS1-IT1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012491.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC013404.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERBB4	598	281	769	147	490	519	577	68	344	284	136	699	1076	441	251	777	208	142	782	296	545
RNA5SP119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND2P23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTCO1P46	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
MIR548F2	0	0	0	5	0	1	0	0	0	0	1	0	0	1	0	0	0	0	7	0	0
AC093865.1	56	34	60	40	56	77	42	23	77	88	105	82	91	48	49	72	30	13	67	114	119
LINC01878	0	0	0	2	1	0	7	0	0	0	3	0	1	1	0	5	0	0	0	0	0
PCED1CP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108066.1	0	9	2	1	3	7	0	5	0	10	12	4	5	0	0	4	11	0	0	0	3
MIR4776-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-4776-1	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IKZF2	2019	1561	2932	2562	2072	2688	2609	1268	2929	1791	2712	2736	3182	1581	1060	1506	898	533	1701	2784	2766
AC079610.2	14	0	21	3	2	16	6	0	2	5	9	8	8	4	1	5	0	1	0	13	22
LINC01953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC079610.3	0	0	2	0	0	6	0	0	4	1	0	3	2	0	0	0	3	0	0	0	2
AC079610.1	28	7	24	11	10	16	0	0	7	3	2	6	6	8	0	0	7	1	0	49	18
SPAG16	1178	567	1355	788	1327	758	867	415	625	388	426	845	916	764	279	740	575	179	1043	482	524
MIR4438	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC068051.1	0	0	1	0	3	0	0	0	0	1	4	0	2	7	0	2	0	0	0	0	0
RPL5P8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
VWC2L	37	16	40	0	26	10	22	8	2	0	4	12	20	15	0	21	29	6	19	5	10
VWC2L-IT1	0	9	9	4	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0	0	0
ENSAP3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BARD1	176	60	210	127	146	275	225	113	102	186	125	163	185	96	77	78	51	23	70	182	177
AC016708.1	8	8	12	23	17	8	10	5	9	11	2	12	5	9	4	23	0	0	18	5	17
SNORA70I	0	3	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0
RPL10P6	0	3	1	3	27	1	13	12	6	0	1	0	9	15	3	14	6	0	5	16	2
ABCA12	66	147	156	284	64	17	293	247	115	60	681	201	319	163	579	96	77	27	182	345	695
AC072062.1	0	5	11	0	8	3	7	0	6	1	2	1	11	4	0	0	3	2	0	15	9
AC073284.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATIC	410	420	611	416	515	483	584	291	394	408	259	413	563	360	268	281	152	80	361	417	622
FN1	1208	44	998	349	8978	799	32	114	45	1701	199	61	82	48	92	139	274	19	58	0	77
AC012462.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012462.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012462.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012668.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012668.3	0	0	0	0	13	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
AC012668.1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
LINC00607	54	17	26	14	49	17	57	0	43	17	21	41	38	35	9	24	18	7	15	17	13
LINC01614	0	0	0	0	2	0	0	0	0	3	0	0	5	0	0	0	0	0	9	0	0
AC093850.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AC122136.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC093382.1	0	3	12	5	0	9	0	0	4	9	0	5	5	4	0	0	0	0	0	2	0
MREG	59	126	154	101	131	166	60	90	82	146	147	100	108	35	97	71	50	15	50	125	144
PECR	212	152	186	163	230	195	150	62	66	81	83	152	174	131	110	75	102	21	74	129	141
TMEM169	2	3	10	6	8	2	0	0	3	1	1	0	3	7	4	0	19	2	17	12	0
XRCC5	1419	1648	2410	1149	1997	2208	2289	993	1334	2064	1765	1689	2051	1361	1352	1257	659	282	1153	1590	2445
POLHP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012513.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012513.3	47	46	25	20	61	14	48	12	40	77	15	27	18	52	20	46	15	3	10	46	104
LINC01963	44	6	34	10	44	27	67	18	40	53	23	75	34	37	42	66	14	5	54	21	103
MARCH4	17	1	51	57	76	2	21	39	14	11	15	98	26	155	6	6	21	11	66	19	19
AC012513.1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0	0	0	0
AC069155.1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
AC098820.2	0	0	1	0	0	3	13	0	0	0	0	0	0	0	0	0	2	0	0	10	1
SMARCAL1	303	180	399	198	256	322	271	123	166	217	180	199	200	197	40	174	92	31	110	209	228
AC098820.1	5	32	27	4	20	6	3	2	3	2	4	8	4	4	0	8	13	1	0	0	5
AC098820.3	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	7	6	0	13	0	0
RPL37A	1124	1534	2386	1029	2814	3213	1641	1189	1123	2947	2163	1892	1672	1148	991	1706	425	183	883	1081	2966
LINC01280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC073321.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
PSMB3P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGFBP2	4196	2413	3394	1566	5257	2430	3684	1014	2477	1622	1169	3927	3304	3756	1221	2707	2084	415	2896	2140	2454
IGFBP5	2488	1230	2285	1196	8781	3165	3085	572	1251	2604	718	3488	1566	5135	250	3371	2233	402	1684	476	2441
AC007563.2	0	3	3	9	47	10	13	0	1	6	0	5	5	13	5	18	0	0	11	0	18
AC007563.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP120	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AC007563.1	0	0	0	0	4	0	0	0	3	2	0	0	0	2	0	0	7	0	0	0	0
FABP5P14	0	0	2	0	6	1	0	0	0	0	4	1	0	1	0	0	0	0	5	0	0
AC007557.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007557.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007557.1	6	0	2	0	3	4	19	0	1	4	3	17	4	4	2	8	0	0	6	1	8
AC007557.3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
LINC01921	5	7	3	0	13	1	2	6	4	4	5	15	0	0	0	6	14	1	0	6	5
AC007749.1	7	7	5	2	17	9	4	0	9	14	2	38	4	6	0	18	9	0	13	0	0
RN7SKP43	0	0	0	0	1	0	0	0	3	0	1	18	1	0	0	0	0	0	5	0	0
DIRC3-AS1	9	2	4	0	9	2	23	0	1	0	0	16	1	0	0	5	0	2	4	0	2
Pinc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DIRC3	8	8	10	4	16	17	32	9	9	16	11	6	6	41	0	0	0	3	11	0	14
AC010886.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
RPL7L1P9	0	0	7	2	8	0	0	4	9	5	2	0	0	3	1	4	0	2	15	0	4
TNS1	1016	649	896	1226	3287	2041	1305	416	2526	3971	1481	1239	1770	1600	1066	2019	475	468	1080	1214	3418
MIR6809	14	14	1	2	0	1	0	3	8	6	8	4	3	6	0	0	0	1	0	0	1
AC010136.1	0	0	0	2	0	2	0	0	3	7	0	2	0	0	0	5	1	0	0	8	1
RUFY4	349	151	772	1381	113	447	103	80	251	75	165	98	741	89	8	38	122	168	306	309	119
CXCR2P1	206	9	152	157	0	618	3	18	5	1	27	0	63	12	0	4	1	8	11	0	7
CXCR2	13	58	13	43	11	93	69	9	1	384	114	42	27	66	727	89	17	2	91	35	88
CXCR1	0	73	2	33	0	54	14	19	3	277	36	44	0	22	534	68	15	1	75	16	43
HMGB1P9	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
ARPC2	1126	2410	2228	1442	1038	3477	1754	1400	1096	2823	2520	1222	1920	852	2292	910	325	155	1061	1268	1686
AC021016.2	0	25	29	17	26	19	35	33	17	28	36	12	20	14	47	18	6	0	22	30	41
GPBAR1	17	25	22	20	7	35	26	11	12	32	19	11	15	18	44	18	9	0	0	27	28
AAMP	866	717	1030	673	980	957	1166	472	961	859	890	1028	1403	864	847	760	313	123	858	1141	1121
PNKD	1019	431	1163	793	863	942	843	394	600	968	712	477	1363	542	800	641	230	127	898	446	1093
TMBIM1	1033	1898	1888	2464	1152	1953	1580	991	1860	1774	2318	1566	3061	1730	3666	1983	503	450	1925	1958	3109
MIR6513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CATIP-AS2	0	0	0	1	0	5	0	0	0	2	5	0	0	0	3	0	0	0	0	0	0
MIR6810	0	0	3	0	0	6	8	0	0	0	1	0	6	0	0	0	0	0	17	0	10
AC021016.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CATIP	1308	711	1041	488	1557	641	891	439	486	352	375	749	459	722	255	776	661	183	903	382	506
CATIP-AS1	6	29	16	13	23	39	43	14	3	106	68	10	11	25	260	47	0	3	11	36	11
SLC11A1	1110	687	286	367	53	1628	673	438	49	9956	2053	738	188	138	12224	846	98	38	234	117	479
CTDSP1	789	1033	859	433	1264	1212	1081	435	619	2369	977	790	895	874	3852	666	302	148	649	1308	1560
AC021016.3	12	4	2	6	5	10	19	3	4	5	3	2	3	19	20	9	4	5	16	24	4
MIR26B	0	0	4	10	7	0	17	0	0	22	0	2	8	3	41	15	3	0	0	5	1
VIL1	0	5	8	8	2	2	0	4	1	6	9	3	4	19	70	30	1	0	0	20	20
USP37	292	319	671	351	475	468	392	209	364	324	393	375	627	312	187	271	207	95	304	363	455
RN7SKP38	0	0	1	0	1	1	0	0	9	2	4	0	0	0	0	4	0	0	0	7	11
CNOT9	720	692	1232	759	1026	999	810	560	568	662	623	755	1059	730	390	580	490	146	615	629	877
RNU6-136P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLCD4	34	0	49	53	98	26	71	12	44	85	39	71	28	46	35	80	25	7	33	144	116
AC012510.1	18	0	15	11	24	26	20	12	18	29	13	14	15	12	33	19	4	5	8	44	36
ZNF142	414	523	737	512	577	695	867	403	577	476	561	511	801	359	422	609	257	91	484	739	794
BCS1L	345	120	336	191	402	264	378	200	327	277	223	278	318	248	107	272	206	40	295	374	432
RNF25	181	188	206	184	187	232	197	132	132	161	170	154	209	133	85	83	62	46	112	227	281
STK36	2948	2084	3529	2277	1901	1937	2469	1158	1755	844	1452	2347	2698	2372	664	1907	1774	461	2736	2194	1674
TTLL4	1008	760	1312	1070	1266	823	1230	516	902	675	910	910	1156	747	526	762	482	210	914	859	967
CYP27A1	288	305	438	183	793	356	280	43	271	588	127	359	391	416	339	488	301	94	324	243	677
AC009974.1	0	0	0	0	8	0	0	0	3	4	0	0	0	2	0	0	0	0	0	0	2
PRKAG3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR9500	0	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	0	0	0	0	0
RPL23AP31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WNT6	0	3	0	0	22	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1
WNT10A	0	2	25	10	50	36	6	10	5	1	5	8	9	35	3	8	5	0	0	45	15
LINC01494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-642P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097468.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT8P30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK5R2	0	0	0	0	13	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LINC00608	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
FEV	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
CRYBA2	0	6	0	0	0	1	16	0	0	0	2	0	4	17	5	1	0	3	0	3	0
MIR375	0	0	1	0	9	6	0	0	10	3	3	3	0	5	0	16	0	3	5	8	1
AC097468.1	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
CFAP65	4085	3200	4107	2509	5651	2346	2937	1078	1744	1130	1296	2658	2663	2802	495	2571	2673	808	3162	1152	1750
IHH	0	34	16	13	0	6	0	8	7	1	7	3	48	25	0	9	10	3	5	0	0
MIR3131	0	0	1	5	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
AC097468.3	0	0	2	0	0	1	1	0	1	4	2	2	1	1	0	0	8	0	0	0	0
NHEJ1	7	12	9	6	5	13	0	6	2	12	7	2	1	14	5	3	0	0	10	6	24
AC068946.1	0	0	2	0	0	1	0	0	3	1	9	2	9	2	20	0	0	0	8	0	5
RN7SL764P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC23A3	0	9	3	11	9	9	7	8	8	9	27	0	2	31	4	3	0	1	0	8	9
CNPPD1	515	574	633	419	466	711	685	325	541	586	563	370	580	493	526	489	190	90	491	783	720
RETREG2	754	796	1323	783	1284	1114	1151	518	910	1242	682	933	1557	1037	1012	913	346	147	1000	1273	1639
ZFAND2B	116	258	340	165	221	379	387	142	245	242	175	176	283	251	227	286	64	33	127	346	406
ABCB6	134	74	60	23	109	83	109	27	54	69	29	93	80	76	59	42	33	19	87	55	154
ATG9A	340	626	679	488	556	652	714	350	459	746	473	472	762	582	684	482	188	75	554	833	801
ANKZF1	1630	1464	1669	1103	2271	1641	2384	940	1266	1007	749	1931	1654	913	670	1489	1216	273	1751	1482	1666
GLB1L	1049	523	1005	461	950	729	921	442	531	376	392	754	839	678	222	654	351	93	481	345	497
STK16	279	204	418	199	395	287	350	207	241	339	253	294	429	288	248	214	112	33	260	273	392
TUBA4A	100	530	486	148	262	877	489	320	259	599	794	266	421	430	717	459	49	28	249	265	466
TUBA4B	826	521	1596	915	1135	747	866	396	405	253	397	1066	1299	648	268	693	540	146	546	311	407
DNAJB2	1752	1591	2286	1697	2288	1704	1859	768	1262	1240	1374	1547	1563	1528	1500	1361	1410	324	1346	1464	1507
PTPRN	0	0	0	14	0	1	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0
MIR153-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC114803.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RESP18	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	3
AC053503.3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0
DNPEP	404	668	993	844	519	789	1011	364	749	545	832	590	1183	539	456	458	190	156	797	983	1030
AC053503.2	0	0	2	0	2	4	12	0	0	0	0	0	0	1	1	0	0	0	0	0	0
DES	0	0	2	23	7	2	0	8	4	0	14	0	0	2	0	0	0	0	2	0	0
AC053503.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC053503.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPEG	34	12	18	9	167	58	2	13	49	16	10	2	16	38	16	13	25	1	58	52	10
AC053503.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC053503.5	0	0	3	0	0	10	2	1	7	6	8	0	0	11	4	5	0	0	18	2	2
GMPPA	351	251	422	225	442	431	404	179	347	272	477	295	433	225	147	269	145	51	302	549	346
ASIC4	8	0	1	9	22	0	3	10	3	1	3	0	6	12	7	0	0	1	0	3	0
CHPF	290	337	463	341	535	428	536	242	405	384	632	452	771	448	488	377	151	52	576	631	736
TMEM198	88	41	54	13	87	74	95	36	60	64	104	45	51	37	56	50	10	3	38	81	123
AC009955.3	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0
MIR3132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OBSL1	558	548	361	239	1629	546	1083	338	911	921	549	778	722	344	368	589	179	180	662	1235	1181
AC009955.4	0	7	0	4	0	0	0	0	1	4	0	0	2	0	0	3	0	0	0	0	0
INHA	6	18	4	3	11	10	2	0	14	25	4	10	7	2	24	0	0	1	0	19	13
RN7SKP213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STK11IP	1331	1387	1615	1053	2336	1292	1821	731	1367	741	1005	1769	1457	1137	951	1210	908	309	1605	1241	1181
AC009955.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC4A3	61	16	35	22	157	40	49	21	24	42	25	26	49	89	72	56	23	3	49	65	117
AC009955.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1
AC009502.2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0
AC009502.1	84	110	118	28	229	79	106	45	36	40	11	45	42	74	14	54	73	20	36	57	37
RPL23P4	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0
LINC01803	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009310.1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
AC019211.1	9	7	36	10	118	9	38	13	19	9	9	20	5	16	2	47	23	4	18	0	20
AC093083.1	13	11	11	8	30	8	23	0	6	3	3	19	3	4	9	17	23	1	0	4	0
AC067956.1	18	1	17	15	94	14	19	9	18	2	4	14	1	18	4	4	24	5	5	0	0
AC093843.1	7	0	4	7	8	5	0	0	0	0	1	0	0	1	0	0	4	0	0	0	0
AC011233.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPHA4	183	210	281	331	319	473	298	150	524	246	291	305	564	455	266	314	121	52	289	646	584
TMEM256P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC079834.2	16	4	4	4	4	10	29	6	15	5	16	36	23	17	2	14	1	2	19	11	41
AC079834.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC068489.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009302.1	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
HSPA9P1	5	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
RPL23AP28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
PAX3	20	28	82	34	28	50	83	57	318	124	268	77	397	28	61	24	8	19	157	306	123
CCDC140	19	5	5	5	1	0	8	0	11	19	13	7	16	6	7	0	0	2	0	20	16
AC010980.2	0	3	2	0	5	4	8	2	6	16	11	12	17	3	48	2	1	1	0	10	14
AC010980.1	0	0	1	15	9	1	6	9	6	14	7	8	2	1	25	9	0	1	19	19	9
SGPP2	690	602	747	655	742	792	977	299	836	1130	1097	1165	1240	823	960	729	372	161	836	817	1623
NANOGP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-619P	5	0	11	2	3	7	3	0	1	5	8	4	1	3	5	5	0	0	0	0	2
GAPDHP49	0	1	0	0	0	0	0	0	0	3	0	0	2	2	0	0	0	0	0	0	0
AC097461.1	30	20	10	14	60	24	38	27	33	74	26	35	34	9	8	37	9	12	41	66	53
FARSB	268	136	282	107	233	278	305	153	188	288	172	219	221	182	72	154	110	28	121	154	368
MOGAT1	0	0	1	4	0	1	7	3	10	3	6	2	0	4	3	0	0	0	0	13	0
AC104772.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC104772.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC016712.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
ACSL3	896	721	1510	1219	1132	1592	1547	504	927	1473	1874	1066	2182	1139	1668	670	431	182	1047	986	1896
ATG12P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
AC013476.1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
AC013476.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNE4	0	0	8	42	2	27	22	7	19	45	26	7	47	21	0	4	0	1	1	14	11
RN7SL807P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIGD1AP4	0	0	1	0	1	2	0	3	0	0	0	0	0	0	0	8	2	0	0	0	0
AC013448.1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC013448.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCG2	0	4	11	28	7	26	30	6	6	15	0	55	6	27	8	16	2	0	35	16	9
AC012512.1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AP1S3	97	197	167	186	109	182	207	87	118	68	156	112	124	156	215	135	24	22	104	82	207
WDFY1	1036	1268	2334	2493	975	1812	1339	935	1221	904	1916	749	2051	650	620	602	451	246	974	1122	1041
MRPL44	139	142	327	288	123	182	144	118	99	140	187	123	283	125	148	68	84	20	87	207	170
